
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
4.5934,68.0107,65.0167,um,Surface,Position Reference Frame,Reference Frame 1,1,71,
16.3472,78.1986,64.4688,um,Surface,Position Reference Frame,Reference Frame 1,1,72,
11.127,75.8677,64.3493,um,Surface,Position Reference Frame,Reference Frame 1,1,73,
3.36082,73.651,52.599,um,Surface,Position Reference Frame,Reference Frame 1,1,74,
7.61759,68.3897,53.1808,um,Surface,Position Reference Frame,Reference Frame 1,1,75,
14.0318,54.4568,52.53,um,Surface,Position Reference Frame,Reference Frame 1,1,76,
13.1991,66.0009,53.6892,um,Surface,Position Reference Frame,Reference Frame 1,1,77,
8.30601,73.6959,54.4341,um,Surface,Position Reference Frame,Reference Frame 1,1,78,
22.6821,69.0824,58.003,um,Surface,Position Reference Frame,Reference Frame 1,1,79,
12.7649,75.0129,56.5618,um,Surface,Position Reference Frame,Reference Frame 1,1,80,
17.61,58.7147,57.9193,um,Surface,Position Reference Frame,Reference Frame 1,1,81,
22.6786,58.9668,57.7514,um,Surface,Position Reference Frame,Reference Frame 1,1,82,
41.5946,72.5795,55.391,um,Surface,Position Reference Frame,Reference Frame 1,1,83,
35.7422,69.9774,54.5971,um,Surface,Position Reference Frame,Reference Frame 1,1,84,
35.2695,88.2346,55.4911,um,Surface,Position Reference Frame,Reference Frame 1,1,85,
32.9127,72.6156,55.654,um,Surface,Position Reference Frame,Reference Frame 1,1,86,
32.303,77.6132,55.3509,um,Surface,Position Reference Frame,Reference Frame 1,1,87,
45.8886,72.1258,56.7007,um,Surface,Position Reference Frame,Reference Frame 1,1,88,
40.1796,74.7697,58.9081,um,Surface,Position Reference Frame,Reference Frame 1,1,89,
41.9473,66.8134,57.6596,um,Surface,Position Reference Frame,Reference Frame 1,1,90,
34.7595,63.7336,57.8463,um,Surface,Position Reference Frame,Reference Frame 1,1,91,
20.9643,74.1173,57.6408,um,Surface,Position Reference Frame,Reference Frame 1,1,92,
39.3722,83.7103,55.2645,um,Surface,Position Reference Frame,Reference Frame 1,1,93,
48.4352,78.4178,53.8146,um,Surface,Position Reference Frame,Reference Frame 1,1,94,
44.8319,85.4153,53.8163,um,Surface,Position Reference Frame,Reference Frame 1,1,95,
