no,stage,x,y,z,tbxta,sox2,sp5l,cdh6
1,18ss,140.898,166.36,54.6121,7.69688,67,4.97074,7.57996
1,18ss,135.869,150.788,58.6112,3.47261,89,6.40544,4.73676
1,18ss,133.84,160.917,62.7953,3.62771,65,4.79112,5.07815
1,18ss,143.293,161.378,61.3392,7.95353,59,5.84176,6.65628
1,18ss,134.702,155.695,63.3375,3.69608,50,4.44748,4.61928
1,18ss,154.797,158.792,51.9957,7.86012,49,3.23549,13.892
1,18ss,148.981,161.199,56.8084,7.34631,91,4.83848,9.02353
1,18ss,157.208,165.627,57.3955,1.72744,25,1.10313,1.22959
1,18ss,151.577,159.063,61.9879,5.19376,55,3.22376,4.4041
1,18ss,149.81,154.896,62.2317,7.31541,33,4.3043,4.11286
1,18ss,163.983,157.958,55.2231,1.77283,20,0.834916,1.32798
1,18ss,94.4694,169.352,55.9812,3.60572,86,4.41427,8.33315
1,18ss,95.3581,170.058,63.0608,3.58618,118,4.51146,7.78344
1,18ss,102.384,175.75,53.8485,5.50385,72,6.72049,15.1385
1,18ss,104.701,171.18,54.8085,4.73031,165,7.19567,12.0179
1,18ss,100.018,170.045,55.7259,4.458,85,5.77758,11.7851
1,18ss,96.6426,177.818,56.5299,3.92803,83,4.53434,9.79471
1,18ss,99.3429,174.54,58.6045,3.99392,92,4.45966,9.94281
1,18ss,106.866,174.484,59.539,6.24663,144,7.66714,8.90016
1,18ss,103.525,167.785,64.1178,4.08856,73,5.26156,7.38405
1,18ss,103.2,176.621,66.591,2.37894,29,1.96117,2.31378
1,18ss,94.6057,174.64,66.9779,2.30992,35,2.00637,2.8681
1,18ss,107.709,177.394,53.1289,6.09206,77,8.26823,11.1611
1,18ss,115.903,177.64,53.9354,6.91594,80,6.66191,8.90009
1,18ss,112.07,172.284,56.1721,5.59111,112,7.15878,11.7398
1,18ss,113.666,167.331,61.0084,4.89116,83,5.80931,8.36414
1,18ss,116.224,173.818,61.4144,4.99243,75,6.42334,9.63737
1,18ss,118.813,168.148,65.4119,3.87484,69,5.41675,8.0005
1,18ss,129.152,168.989,60.0056,4.6067,49,5.44174,10.9591
1,18ss,123.106,171.947,58.6602,4.63159,85,6.18423,9.24219
1,18ss,133.812,171.901,52.4524,7.79618,67,4.08012,11.4326
1,18ss,145.954,175.248,53.3666,2.11541,27,1.3149,1.48599
1,18ss,135.64,168.75,60.1401,6.47166,80,3.56114,7.60706
1,18ss,136.834,166.111,62.3926,5.54219,33,3.7389,5.36823
1,18ss,156.692,167.449,55.73,1.75793,25,1.03129,1.29031
1,18ss,92.3619,182.023,59.6103,3.20333,35,2.57754,3.06663
1,18ss,100.423,181.268,60.3208,2.92056,41,2.67351,2.74516
1,18ss,127.878,180.785,54.6575,2.22178,32,1.79824,2.06076
1,18ss,159.648,122.81,69.9253,4.10982,24,2.82561,1.8223
1,18ss,91.9726,126.456,79.2873,3.32333,28,1.34825,1.15455
1,18ss,95.6135,133.416,69.0655,2.86924,30,1.42174,1.49957
1,18ss,100.295,126.26,70.2264,3.81132,24,1.83798,1.395
1,18ss,95.0724,132.712,74.9394,2.88971,23,1.41379,1.39777
1,18ss,112.758,129.016,71.9279,2.51833,23,1.3076,1.1234
1,18ss,119.059,133.692,72.5504,2.92487,27,1.66032,1.38025
1,18ss,134.575,133.198,68.7292,2.96949,25,2.23517,1.48506
1,18ss,143.14,125.55,75.1721,2.29063,18,1.20256,1.17374
1,18ss,126.391,101.357,51.5612,13.2705,25,2.96819,2.88288
1,18ss,129.427,110.772,51.1432,22.6564,26,4.43298,4.03365
1,18ss,119.863,103.236,52.6379,15.7552,23,3.81222,3.03691
1,18ss,144.338,108.781,53.7952,9.63377,26,3.03609,2.67105
1,18ss,147.793,102.558,51.1861,9.09874,34,2.77951,2.3225
1,18ss,156.101,99.9129,53.2486,12.0751,29,3.00426,2.57447
1,18ss,154.709,105.82,54.9542,8.98926,24,3.07301,2.27531
1,18ss,148.293,104.192,57.2192,6.14487,28,1.71429,1.84064
1,18ss,155.978,100.211,58.9347,9.54487,29,2.41656,2.19229
1,18ss,149.545,102.267,60.9736,5.04652,23,1.86647,1.61051
1,18ss,156.532,107.921,63.9489,6.41692,30,2.32373,1.93918
1,18ss,149.419,102.334,65.5911,6.29142,23,2.02409,1.71815
1,18ss,168.913,105.967,51.2384,14.983,44,3.84396,4.62417
1,18ss,165.002,110.01,51.7058,15.5084,46,5.20408,4.22224
1,18ss,164.661,97.5194,52.2917,12.7247,29,4.18686,3.00017
1,18ss,160.017,105.243,53.2692,12.2746,26,3.39899,2.88911
