no,stage,x,y,z,tbxta,sox2,hes6,cdh6
1,18ss,118.364,80.1256,-21.9787,13.238,47,41.8887,3.19666
1,18ss,112.583,93.1966,-20.6744,10.1166,51,28.8785,3.37099
1,18ss,119.584,88.9677,-19.1957,19.2598,44,46.2254,4.94989
1,18ss,138.061,88.6612,-20.9979,13.928,171,39.0689,3.5849
1,18ss,126.38,78.1429,-21.1654,15.7774,179,45.3953,3.90269
1,18ss,129.941,89.1595,-21.2687,14.1395,55,43.1928,3.62102
1,18ss,122.361,85.8363,-23.2855,15.0859,49,34.1884,3.63007
1,18ss,144.863,85.8005,-20.5357,15.4475,71,38.7626,4.4265
1,18ss,139.747,75.4424,-19.1955,16.7293,41,43.8359,3.9787
1,18ss,136.436,82.9167,-19.6978,12.7731,57,49.0991,3.82108
1,18ss,128.761,84.048,-18.6475,19.5954,51,45.0167,5.23794
1,18ss,122.297,93.2226,-18.6496,17.082,42,47.5753,3.25967
1,18ss,132.435,89.6991,-17.0163,13.3293,42,46.5776,3.89093
1,18ss,139.054,95.538,-19.9087,14.7868,52,46.6744,3.42425
1,18ss,145.432,79.493,-17.1954,13.0371,50,42.6143,3.62522
1,18ss,152.24,83.5365,-20.0452,16.0447,90,48.5845,4.29904
1,18ss,160.522,74.2457,-19.8759,10.4779,53,10.4444,2.97275
1,18ss,168.536,73.6891,-19.997,8.60476,43,3.89205,2.30325
1,18ss,162.844,85.4376,-17.6807,19.0523,105,32.4921,5.41136
1,18ss,165.02,90.8653,-16.9577,17.5377,182,44.1006,4.06454
1,18ss,150.995,74.561,-16.8867,11.6987,57,22.7142,3.97853
1,18ss,178.868,90.9487,-21.6952,10.5242,46,11.1629,3.57479
1,18ss,176.014,92.8112,-19.2842,10.2758,54,12.8522,3.07752
1,18ss,95.4415,115.952,-20.0239,9.9655,46,32.0079,2.91507
1,18ss,96.3039,121.811,-18.0386,10.2189,48,27.026,2.89053
1,18ss,103.477,121.593,-20.556,12.0741,67,27.442,3.05781
1,18ss,108.553,111.479,-20.0808,12.4876,56,37.9618,2.94007
1,18ss,107.634,98.159,-19.7299,12.915,54,33.7435,3.19944
1,18ss,118.91,100.452,-19.9585,12.9117,50,42.389,3.28769
1,18ss,98.9275,110.984,-19.7287,12.1105,51,36.4226,2.73226
1,18ss,111.542,105.371,-21.124,14.6467,46,38.7006,3.21641
1,18ss,116.224,105.944,-17.5179,12.807,51,30.7877,2.96687
1,18ss,112.121,111.152,-17.2936,13.2532,50,38.8412,3.14595
1,18ss,119.431,110.808,-17.4055,13.0387,53,39.6668,3.03286
1,18ss,132.048,110.051,-21.4439,14.2041,48,30.4559,3.50751
1,18ss,131.944,98.3996,-19.2402,12.4754,52,48.2792,2.88513
1,18ss,146.001,99.6869,-18.6929,11.1119,65,44.2211,2.66334
1,18ss,139.042,116.395,-18.2234,10.832,47,25.8447,2.74247
1,18ss,138.867,108.397,-18.4064,13.9564,115,52.7702,4.12198
1,18ss,143.182,113.366,-17.361,12.1247,71,36.4625,3.18387
1,18ss,167.875,104.317,-20.5268,9.68018,142,26.502,3.14089
1,18ss,151.659,99.8951,-20.5581,11.7387,51,43.8132,2.8805
