no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,96.2565,79.3075,3.01564,2.80203,8.61063,2.62481,1.42937
1,18ss,105.112,88.239,2.96055,2.2433,8.90621,3.89068,1.68375
1,18ss,110.151,88.095,2.95283,2.81868,8.94159,3.38919,1.39716
1,18ss,115.299,88.5719,2.14906,2.26984,8.71888,3.37204,1.46813
1,18ss,117.44,78.9123,2.71128,2.3468,7.75772,3.11629,1.55623
1,18ss,118.879,93.2957,3.21197,2.84537,9.26362,3.84839,1.78463
1,18ss,136.203,91.0655,-1.91663,3.27884,7.93021,3.01777,2.13111
1,18ss,140.045,77.2928,-0.876492,1.90608,6.2086,2.53596,2.5292
1,18ss,132.112,70.57,0.118324,2.08398,5.8466,2.61985,3.53704
1,18ss,140.535,74.0259,0.129688,2.20203,6.21618,2.62024,3.00817
1,18ss,125.365,75.463,1.35268,2.53503,6.95708,3.22738,1.89047
1,18ss,126.358,84.8715,0.673357,2.18501,7.71228,3.28134,2.7612
1,18ss,140.251,88.8747,1.72046,3.29775,7.94607,3.00936,1.61486
1,18ss,124.307,94.1805,1.04334,4.50034,8.8655,3.40736,2.65041
1,18ss,130.283,92.7672,-0.970358,2.58996,8.20732,3.2363,2.9053
1,18ss,121.446,83.3261,1.23935,2.72065,7.76466,3.07533,2.02608
1,18ss,132.37,82.4654,3.55652,2.30732,8.06812,3.33134,2.25352
1,18ss,140.008,94.0538,3.44367,6.18664,9.46642,3.52487,2.1397
1,18ss,122.67,76.3525,5.07309,1.84965,8.21295,3.10754,1.67442
1,18ss,122.253,80.3978,5.22858,2.63536,9.26573,2.83716,2.56144
1,18ss,127.798,86.7952,3.35164,2.82781,8.51323,3.86389,2.83526
1,18ss,128.199,95.6361,3.55585,2.99512,9.17022,3.87046,3.21126
1,18ss,154.729,89.3957,-0.918667,4.17486,7.92063,3.34093,2.34052
1,18ss,151.061,74.1613,-1.62508,3.41948,5.76539,3.17311,5.72292
1,18ss,168.777,85.1593,-0.861571,3.67207,7.35364,3.02222,5.21719
