no,stage,x,y,z,tbxta,sox2,znf703,cdh6
1,18ss,106.674,106.992,-6.77128,2.41509,14,2.73585,0.471698
1,18ss,111.206,101.281,-3.47219,2,4,1.86207,0.310345
1,18ss,119.958,105.799,-16.5487,6,4,6,2
1,18ss,123.349,95.1943,-11.7822,3.22034,10,5.57627,0.779661
1,18ss,134.562,102.726,-15.6402,2.99561,15,3.87719,0.732456
1,18ss,141.347,104.306,-12.9996,7.95041,11,4.11157,1.31405
1,18ss,133.928,101.037,-9.15549,2.32857,11,3.90714,0.4
1,18ss,137.012,94.8663,-7.19813,2.89286,10,2.64286,1.21429
1,18ss,150.23,98.4306,-16.4901,5.9163,14,4.75477,1.06902
1,18ss,155.005,94.6252,-11.9837,4.43466,25,3.65571,0.898279
1,18ss,159.796,106.959,-17.4908,6.35877,19,3.23526,1.31231
1,18ss,156.984,100.472,-15.9687,3.62961,24,4.26411,0.753624
1,18ss,158.892,100.53,-10.9626,4.91605,15,4.18459,0.95729
1,18ss,173.477,101.321,-16.4188,4.97959,17,3.32055,1.00669
1,18ss,174.521,100.171,-12.7497,4.03896,14,2.38701,0.850649
1,18ss,172.362,94.3616,-11.5778,3.52119,17,3.42514,0.737288
1,18ss,84.3217,115.923,-17.0201,1.22945,27,2.29821,1.37045
1,18ss,85.0388,109.371,-14.3827,2.6157,21,2.42975,1.19008
1,18ss,85.9039,114.079,-10.3743,1.46196,19,2.40435,0.713043
1,18ss,97.2237,113.277,-11.4635,2.35294,9,4.28627,0.572549
1,18ss,97.9446,118.147,-11.1612,1.44842,21,2.56642,0.667566
1,18ss,102.476,107.994,-10.442,2.78788,16,4.84091,0.738636
1,18ss,90.474,115.607,-9.6834,1.31364,12,3.36818,0.763636
1,18ss,96.8421,116.945,-6.06437,1.63077,16,1.76923,0.438462
1,18ss,93.9782,112.154,-2.80116,1.17268,21,2.49342,0.376593
1,18ss,112.306,110.319,-17.2175,5.87725,13,3.02096,1.14371
1,18ss,107.533,107.117,-16.5825,8.633,18,3.3569,1.72391
1,18ss,105.841,115.663,-13.7305,2.6718,15,3.38655,0.801459
1,18ss,109.209,116.36,-10.3251,1.84211,15,3.87854,0.619433
1,18ss,104.251,116.813,-9.32185,2.00342,16,4.00205,0.592745
1,18ss,114.858,117.606,-8.01536,2.53696,19,3.393,0.643969
1,18ss,102.57,119.444,-6.75274,1.2776,20,2.98689,0.500475
1,18ss,110.624,117.299,-6.38305,1.28144,16,2.36527,0.449102
1,18ss,109.98,115.995,-1.60731,1.11507,18,1.67123,0.371233
1,18ss,116.643,115.449,-15.9529,4.36977,21,6.22946,1.00465
1,18ss,128.591,116.699,-15.4857,3.18782,18,4.52952,0.86177
