no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,137.62,77.7145,246.785,18.3854,3.26504,6.72846
1,18ss,133.646,82.5288,247.196,15.2773,2.36134,5.39496
1,18ss,144.026,83.52,245.082,22.8421,3.70443,6.75145
1,18ss,131.201,85.6248,244.273,20.0065,3.7097,9.25633
1,18ss,132.614,92.2246,247.243,20.4585,3.98014,9.29603
1,18ss,138.636,95.4953,247.094,17.5475,3.68156,4.96648
1,18ss,147.824,97.5537,244.546,12.6714,4.15864,6.017
1,18ss,101.606,36.3173,235.076,7.05839,2.70073,9.32117
1,18ss,110.924,38.6721,236.183,15.1333,3.35556,9.35556
1,18ss,107.267,46.5139,238.281,13.7651,5.11747,22.0422
1,18ss,118.05,43.2011,239.391,18.301,4.78571,9.43878
1,18ss,102.226,43.4323,239.895,15.9132,4.02641,10.4981
1,18ss,142.908,32.3713,233.556,8.86827,3.75354,7.41926
1,18ss,133.234,27.7396,234.627,6.57095,4.39232,11.1753
1,18ss,134.07,33.1275,234.849,7.63043,3.36957,4.76087
1,18ss,144.358,38.2724,235.42,14.6885,5.48718,16.3154
1,18ss,143.872,47.3733,235.597,23.1262,3.10922,7.79126
1,18ss,134.335,47.8079,237.865,22.6296,3.03704,13.2469
1,18ss,141.199,42.8573,238.727,12.1304,2.98854,6.35244
1,18ss,122.364,36.7045,240.813,10.3667,3.2,5.06667
1,18ss,134.722,37.2633,241.009,12.1389,4.52778,5.61111
1,18ss,129.975,29.0865,242.591,4.07692,1.61538,7.69231
1,18ss,140.445,39.0016,242.248,11.8095,2.61905,8
1,18ss,124.96,45.6689,242.402,19.8947,3.21053,7.13158
1,18ss,155.442,41.1944,234.291,10.4379,7.38937,19.6077
1,18ss,159.892,48.2382,235.233,12.1369,6.49864,16.5313
1,18ss,153.401,38.3446,238.635,10.9305,3.7188,11.639
1,18ss,149.15,46.7776,238.777,11.1316,3.08421,10.5123
1,18ss,149.152,32.0653,239.252,7.02299,2.37931,6.6092
1,18ss,162.15,34.0246,239.707,5.1,3.4,9.2
1,18ss,167.352,41.6978,238.579,11.4224,5.49689,15.1097
1,18ss,161.167,44.7141,239.24,13.4749,6.66702,20.1889
1,18ss,151.355,43.2412,243.62,10.1867,3.50667,7.62667
1,18ss,147.38,37.9541,243.756,11.9487,3.51282,5.64103
1,18ss,158.599,39.8317,244.539,8.31479,6.38024,13.5314
