,Tbxta,Sox2,TCF,Hes6,Cdh6,Sp5l,Tagln3b,Znf703,Wnt8a,Depdc7a,Thbs2,Id3
0,11.812940517118752,2.8266861722369114,19.375735752588916,40.08307915267772,4.191787619521132,4.9662593582986005,4.873815774117496,17.153537629228065,7.936087287336339,6.996701222752127,3.7034071968305584,4.491116327782727
1,10.595316546292752,2.785341275542302,17.26035255594041,45.15872755230321,4.311539598642029,4.842480699616183,3.816132623769015,18.045037689688,7.186061138580527,6.595269190374054,3.8596978710337306,4.5455226188862285
2,8.405193622382118,2.7305273653877777,10.39988499897981,32.77477061554166,3.6785944895651745,3.6084546366660173,3.645535941965043,17.308401138537672,6.757898031156615,5.784051526249691,3.757134923656561,4.038629578274877
3,11.515880319550911,2.847203672609681,16.201341088309665,34.97884258515375,3.7286007238539507,3.956128833399901,4.412053482866424,17.60331338374921,8.666640122411097,6.133575568274564,3.873425401845253,3.7040609677083114
4,10.396252059046008,2.714151783288971,11.062428956889196,35.4275312965488,3.4586605979160994,3.3929669429269733,3.7133532125891087,18.592454407273813,7.651669080131429,5.816508266157029,4.082862911220765,3.241336081877667
5,10.28185435778971,2.7520146751544563,15.375441396265874,38.91633875542425,3.545372851690039,3.4250824816817325,3.6055866406854924,14.37447732130524,7.932560850248839,5.825738706608138,4.63896927749874,2.3597867815975353
6,8.855729472511875,3.167795761487655,14.006815244126413,22.160622986398618,5.675583199118046,5.806351495562653,4.507206224941779,4.142605703315361,2.9444202988892743,2.7141911795980147,4.009414512044656,1.81511604249462
7,8.187029342416055,3.8348800979688105,14.616553848221393,21.153599513927592,5.837673704143353,6.865470862244541,4.524827466263392,5.5224278471596255,3.244555091334793,2.801870354970323,4.0502094060898335,1.8481838025750825
8,7.788063891274604,3.9886599089725836,15.53720120648084,18.315897025185077,5.870482495754936,7.205910812729094,4.686733402129346,3.383261769619004,2.681237067312301,2.7781140249040233,4.11372102097161,1.7522584982827478
9,9.90357789792992,2.8104716694787726,19.933304960272427,32.84332364165641,5.270683107116067,5.544685181868236,4.329469313704205,9.921561351227624,2.894325552067572,3.1825629810964737,3.9477089559476295,2.041278100442041
