gen,eval,o3d_fitness_mean,o3d_fitness_max,o3d_rmse_mean,o3d_rmse_min,o3d_mae_mean,o3d_mae_min
0,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
1,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
2,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
3,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
4,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
5,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
6,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
7,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
8,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
9,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
10,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
11,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
12,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
13,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
14,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
15,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
16,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
17,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
18,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
19,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
20,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
21,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
22,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
23,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
24,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
25,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
26,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
27,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
28,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
29,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
30,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
31,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
32,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
33,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
34,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
35,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
36,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
37,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
38,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
39,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
40,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
41,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
42,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
43,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
44,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
45,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
46,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
47,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
48,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
49,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
50,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
51,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
52,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
53,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
54,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
55,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
56,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
57,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
58,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
59,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
60,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
61,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
62,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
63,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
64,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
65,30,0.033,1.0,9666.821,4.633,9666.999,9.981
66,30,0.033,1.0,9666.821,4.633,9666.999,9.981
67,30,0.033,1.0,9666.821,4.633,9666.999,9.981
68,30,0.033,1.0,9666.821,4.633,9666.999,9.981
69,30,0.033,1.0,9666.821,4.633,9666.999,9.981
70,30,0.033,1.0,9666.821,4.633,9666.999,9.981
71,30,0.033,1.0,9666.821,4.633,9666.999,9.981
72,30,0.033,1.0,9666.821,4.633,9666.999,9.981
73,30,0.033,1.0,9666.821,4.633,9666.999,9.981
74,30,0.033,1.0,9666.821,4.633,9666.999,9.981
75,30,0.033,1.0,9666.821,4.633,9666.999,9.981
76,30,0.033,1.0,9666.821,4.633,9666.999,9.981
77,30,0.033,1.0,9666.821,4.633,9666.999,9.981
78,30,0.033,1.0,9666.821,4.633,9666.999,9.981
79,30,0.033,1.0,9666.821,4.633,9666.999,9.981
80,30,0.033,1.0,9666.821,4.633,9666.999,9.981
81,30,0.033,1.0,9666.821,4.633,9666.999,9.981
82,30,0.033,1.0,9666.821,4.633,9666.999,9.981
83,30,0.033,1.0,9666.821,4.633,9666.999,9.981
84,30,0.033,1.0,9666.821,4.633,9666.999,9.981
85,30,0.033,1.0,9666.821,4.633,9666.999,9.981
86,30,0.033,1.0,9666.821,4.633,9666.999,9.981
87,30,0.033,1.0,9666.821,4.633,9666.999,9.981
88,30,0.033,1.0,9666.821,4.633,9666.999,9.981
89,30,0.033,1.0,9666.821,4.633,9666.999,9.981
90,30,0.033,1.0,9666.821,4.633,9666.999,9.981
91,30,0.033,1.0,9666.821,4.633,9666.999,9.981
92,30,0.033,1.0,9666.821,4.633,9666.999,9.981
93,30,0.033,1.0,9666.821,4.633,9666.999,9.981
94,30,0.033,1.0,9666.821,4.633,9666.999,9.981
