gen,eval,o3d_fitness_mean,o3d_fitness_max,o3d_rmse_mean,o3d_rmse_min,o3d_mae_mean,o3d_mae_min
102,30,0.005,0.091,9333.484,2.229,9334.464,15.352
103,30,0.005,0.091,9333.484,2.229,9334.464,15.352
104,30,0.005,0.091,9333.484,2.229,9334.464,15.352
105,30,0.005,0.091,9333.484,2.229,9334.464,15.352
106,30,0.005,0.091,9333.484,2.229,9334.464,15.352
107,30,0.005,0.091,9333.484,2.229,9334.464,15.352
108,30,0.005,0.091,9333.484,2.229,9334.464,15.352
109,30,0.005,0.091,9333.484,2.229,9334.464,15.352
110,30,0.005,0.091,9333.484,2.229,9334.464,15.352
111,30,0.005,0.091,9333.484,2.229,9334.464,15.352
112,30,0.005,0.091,9333.484,2.229,9334.464,15.352
113,30,0.005,0.091,9333.484,2.229,9334.464,15.352
114,30,0.005,0.091,9333.484,2.229,9334.464,15.352
115,30,0.005,0.091,9333.484,2.229,9334.464,15.352
116,30,0.005,0.091,9333.484,2.229,9334.464,15.352
117,30,0.005,0.091,9333.484,2.229,9334.464,15.352
118,30,0.005,0.091,9333.484,2.229,9334.464,15.352
119,30,0.005,0.091,9333.484,2.229,9334.464,15.352
120,30,0.005,0.091,9333.484,2.229,9334.464,15.352
121,30,0.005,0.091,9333.484,2.229,9334.464,15.352
122,30,0.005,0.091,9333.484,2.229,9334.464,15.352
123,30,0.005,0.091,9333.484,2.229,9334.464,15.352
124,30,0.005,0.091,9333.484,2.229,9334.464,15.352
125,30,0.005,0.091,9333.484,2.229,9334.464,15.352
126,30,0.005,0.091,9333.484,2.229,9334.464,15.352
127,30,0.005,0.091,9333.484,2.229,9334.464,15.352
128,30,0.005,0.091,9333.484,2.229,9334.464,15.352
129,30,0.005,0.091,9333.484,2.229,9334.464,15.352
130,30,0.005,0.091,9333.484,2.229,9334.464,15.352
131,30,0.005,0.091,9333.484,2.229,9334.464,15.352
132,30,0.005,0.091,9333.484,2.229,9334.464,15.352
133,30,0.005,0.091,9333.484,2.229,9334.464,15.352
134,30,0.005,0.091,9333.484,2.229,9334.464,15.352
135,30,0.005,0.091,9333.484,2.229,9334.464,15.352
136,30,0.005,0.091,9333.484,2.229,9334.464,15.352
137,30,0.005,0.091,9333.484,2.229,9334.464,15.352
138,30,0.005,0.091,9333.484,2.229,9334.464,15.352
139,30,0.005,0.091,9333.484,2.229,9334.464,15.352
140,30,0.005,0.091,9333.484,2.229,9334.464,15.352
141,30,0.005,0.091,9333.484,2.229,9334.464,15.352
142,30,0.005,0.091,9333.484,2.229,9334.464,15.352
143,30,0.005,0.091,9333.484,2.229,9334.464,15.352
144,30,0.005,0.091,9333.484,2.229,9334.464,15.352
145,30,0.005,0.091,9333.484,2.229,9334.464,15.352
146,30,0.005,0.091,9333.484,2.229,9334.464,15.352
147,30,0.005,0.091,9333.484,2.229,9334.464,15.352
148,30,0.005,0.091,9333.484,2.229,9334.464,15.352
149,30,0.005,0.091,9333.484,2.229,9334.464,15.352
150,30,0.005,0.091,9333.484,2.229,9334.464,15.352
151,30,0.005,0.091,9333.484,2.229,9334.464,15.352
152,30,0.005,0.091,9333.484,2.229,9334.464,15.352
153,30,0.005,0.091,9333.484,2.229,9334.464,15.352
154,30,0.005,0.091,9333.484,2.229,9334.464,15.352
155,30,0.005,0.091,9333.484,2.229,9334.464,15.352
156,30,0.005,0.091,9333.484,2.229,9334.464,15.352
157,30,0.005,0.091,9333.484,2.229,9334.464,15.352
158,30,0.005,0.091,9333.484,2.229,9334.464,15.352
159,30,0.005,0.091,9333.484,2.229,9334.464,15.352
160,30,0.005,0.091,9333.484,2.229,9334.464,15.352
161,30,0.005,0.091,9333.484,2.229,9334.464,15.352
162,30,0.005,0.091,9333.484,2.229,9334.464,15.352
163,30,0.005,0.091,9333.484,2.229,9334.464,15.352
164,30,0.005,0.091,9333.484,2.229,9334.464,15.352
165,30,0.005,0.091,9333.484,2.229,9334.464,15.352
166,30,0.005,0.091,9333.484,2.229,9334.464,15.352
167,30,0.005,0.091,9333.484,2.229,9334.464,15.352
168,30,0.005,0.091,9333.484,2.229,9334.464,15.352
169,30,0.005,0.091,9333.484,2.229,9334.464,15.352
170,30,0.005,0.091,9333.484,2.229,9334.464,15.352
171,30,0.005,0.091,9333.484,2.229,9334.464,15.352
172,30,0.005,0.091,9333.484,2.229,9334.464,15.352
173,30,0.005,0.091,9333.484,2.229,9334.464,15.352
174,30,0.005,0.091,9333.484,2.229,9334.464,15.352
175,30,0.005,0.091,9333.484,2.229,9334.464,15.352
176,30,0.005,0.091,9333.484,2.229,9334.464,15.352
177,30,0.005,0.091,9333.484,2.229,9334.464,15.352
178,30,0.005,0.091,9333.484,2.229,9334.464,15.352
179,30,0.005,0.091,9333.484,2.229,9334.464,15.352
180,30,0.005,0.091,9333.484,2.229,9334.464,15.352
181,30,0.005,0.091,9333.484,2.229,9334.464,15.352
182,30,0.005,0.091,9333.484,2.229,9334.464,15.352
183,30,0.005,0.091,9333.484,2.229,9334.464,15.352
184,30,0.005,0.091,9333.484,2.229,9334.464,15.352
185,30,0.005,0.091,9333.484,2.229,9334.464,15.352
186,30,0.005,0.091,9333.484,2.229,9334.464,15.352
187,30,0.005,0.091,9333.484,2.229,9334.464,15.352
188,30,0.005,0.091,9333.484,2.229,9334.464,15.352
189,30,0.005,0.091,9333.484,2.229,9334.464,15.352
190,30,0.005,0.091,9333.484,2.229,9334.464,15.352
191,30,0.005,0.091,9333.484,2.229,9334.464,15.352
192,30,0.005,0.091,9333.484,2.229,9334.464,15.352
193,30,0.005,0.091,9333.484,2.229,9334.464,15.352
194,30,0.005,0.091,9333.484,2.229,9334.464,15.352
195,30,0.005,0.091,9333.484,2.229,9334.464,15.352
196,30,0.009,0.126,9000.252,2.229,9001.601,14.107
197,30,0.009,0.126,9000.252,2.229,9001.601,14.107
198,30,0.009,0.126,9000.252,2.229,9001.601,14.107
199,30,0.009,0.126,9000.252,2.229,9001.601,14.107
200,30,0.009,0.126,9000.252,2.229,9001.601,14.107
201,30,0.009,0.126,9000.252,2.229,9001.601,14.107
202,30,0.009,0.126,9000.252,2.229,9001.601,14.107
203,30,0.009,0.126,9000.252,2.229,9001.601,14.107
204,30,0.009,0.126,9000.252,2.229,9001.601,14.107
205,30,0.009,0.126,9000.252,2.229,9001.601,14.107
206,30,0.009,0.126,9000.252,2.229,9001.601,14.107
207,30,0.009,0.126,9000.252,2.229,9001.601,14.107
208,30,0.009,0.126,9000.252,2.229,9001.601,14.107
209,30,0.009,0.126,9000.252,2.229,9001.601,14.107
210,30,0.009,0.126,9000.252,2.229,9001.601,14.107
211,30,0.009,0.126,9000.252,2.229,9001.601,14.107
212,30,0.009,0.126,9000.252,2.229,9001.601,14.107
213,30,0.009,0.126,9000.252,2.229,9001.601,14.107
214,30,0.009,0.126,9000.252,2.229,9001.601,14.107
215,30,0.009,0.126,9000.252,2.229,9001.601,14.107
216,30,0.009,0.126,9000.252,2.229,9001.601,14.107
217,30,0.009,0.126,9000.252,2.229,9001.601,14.107
218,30,0.009,0.126,9000.252,2.229,9001.601,14.107
219,30,0.009,0.126,9000.252,2.229,9001.601,14.107
220,30,0.009,0.126,9000.252,2.229,9001.601,14.107
221,30,0.009,0.126,9000.252,2.229,9001.601,14.107
222,30,0.009,0.126,9000.252,2.229,9001.601,14.107
223,30,0.009,0.126,9000.252,2.229,9001.601,14.107
224,30,0.009,0.126,9000.252,2.229,9001.601,14.107
225,30,0.009,0.126,9000.252,2.229,9001.601,14.107
226,30,0.009,0.126,9000.252,2.229,9001.601,14.107
227,30,0.009,0.126,9000.252,2.229,9001.601,14.107
228,30,0.009,0.126,9000.252,2.229,9001.601,14.107
229,30,0.009,0.126,9000.252,2.229,9001.601,14.107
230,30,0.009,0.126,9000.252,2.229,9001.601,14.107
231,30,0.009,0.126,9000.252,2.229,9001.601,14.107
232,30,0.009,0.126,9000.252,2.229,9001.601,14.107
233,30,0.009,0.126,9000.252,2.229,9001.601,14.107
234,30,0.009,0.126,9000.252,2.229,9001.601,14.107
235,30,0.009,0.126,9000.252,2.229,9001.601,14.107
236,30,0.009,0.126,9000.252,2.229,9001.601,14.107
237,30,0.009,0.126,9000.252,2.229,9001.601,14.107
238,30,0.009,0.126,9000.252,2.229,9001.601,14.107
239,30,0.009,0.126,9000.252,2.229,9001.601,14.107
240,30,0.009,0.126,9000.252,2.229,9001.601,14.107
241,30,0.009,0.126,9000.252,2.229,9001.601,14.107
242,30,0.009,0.126,9000.252,2.229,9001.601,14.107
243,30,0.009,0.126,9000.252,2.229,9001.601,14.107
244,30,0.009,0.126,9000.252,2.229,9001.601,14.107
245,30,0.009,0.126,9000.252,2.229,9001.601,14.107
246,30,0.009,0.126,9000.252,2.229,9001.601,14.107
247,30,0.009,0.126,9000.252,2.229,9001.601,14.107
248,30,0.009,0.126,9000.252,2.229,9001.601,14.107
249,30,0.009,0.126,9000.252,2.229,9001.601,14.107
250,30,0.009,0.126,9000.252,2.229,9001.601,14.107
251,30,0.009,0.126,9000.252,2.229,9001.601,14.107
252,30,0.009,0.126,9000.252,2.229,9001.601,14.107
253,30,0.009,0.126,9000.252,2.229,9001.601,14.107
254,30,0.009,0.126,9000.252,2.229,9001.601,14.107
255,30,0.009,0.126,9000.252,2.229,9001.601,14.107
256,30,0.009,0.126,9000.252,2.229,9001.601,14.107
257,30,0.009,0.126,9000.252,2.229,9001.601,14.107
258,30,0.009,0.126,9000.252,2.229,9001.601,14.107
259,30,0.009,0.126,9000.252,2.229,9001.601,14.107
260,30,0.009,0.126,9000.252,2.229,9001.601,14.107
261,30,0.009,0.126,9000.252,2.229,9001.601,14.107
262,30,0.009,0.126,9000.252,2.229,9001.601,14.107
263,30,0.009,0.126,9000.252,2.229,9001.601,14.107
264,30,0.009,0.126,9000.252,2.229,9001.601,14.107
265,30,0.009,0.126,9000.252,2.229,9001.601,14.107
266,30,0.009,0.126,9000.252,2.229,9001.601,14.107
267,30,0.009,0.126,9000.252,2.229,9001.601,14.107
268,30,0.009,0.126,9000.252,2.229,9001.601,14.107
269,30,0.009,0.126,9000.252,2.229,9001.601,14.107
270,30,0.009,0.126,9000.252,2.229,9001.601,14.107
271,30,0.009,0.126,9000.252,2.229,9001.601,14.107
272,30,0.009,0.126,9000.252,2.229,9001.601,14.107
273,30,0.009,0.126,9000.252,2.229,9001.601,14.107
274,30,0.009,0.126,9000.252,2.229,9001.601,14.107
275,30,0.009,0.126,9000.252,2.229,9001.601,14.107
276,30,0.009,0.126,9000.252,2.229,9001.601,14.107
277,30,0.009,0.126,9000.252,2.229,9001.601,14.107
278,30,0.009,0.126,9000.252,2.229,9001.601,14.107
279,30,0.009,0.126,9000.252,2.229,9001.601,14.107
280,30,0.009,0.126,9000.252,2.229,9001.601,14.107
281,30,0.009,0.126,9000.252,2.229,9001.601,14.107
282,30,0.009,0.126,9000.252,2.229,9001.601,14.107
283,30,0.009,0.126,9000.252,2.229,9001.601,14.107
284,30,0.009,0.126,9000.252,2.229,9001.601,14.107
285,30,0.009,0.126,9000.252,2.229,9001.601,14.107
286,30,0.009,0.126,9000.252,2.229,9001.601,14.107
