
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
-154.958,41.6425,-25.0348,um,Surface,Position Reference Frame,Reference Frame 1,1,69,
-151.763,22.879,-24.6011,um,Surface,Position Reference Frame,Reference Frame 1,1,70,
-153.87,18.9574,-8.61522,um,Surface,Position Reference Frame,Reference Frame 1,1,71,
-128.583,90.1705,-43.369,um,Surface,Position Reference Frame,Reference Frame 1,1,72,
-131.062,83.6339,-44.8989,um,Surface,Position Reference Frame,Reference Frame 1,1,73,
-149.122,63.757,-28.5297,um,Surface,Position Reference Frame,Reference Frame 1,1,74,
-155.635,57.7754,-24.455,um,Surface,Position Reference Frame,Reference Frame 1,1,75,
-157.301,50.5241,-19.4189,um,Surface,Position Reference Frame,Reference Frame 1,1,76,
-38.8812,23.8201,-69.0684,um,Surface,Position Reference Frame,Reference Frame 1,1,77,
-32.8288,29.4873,-76.9384,um,Surface,Position Reference Frame,Reference Frame 1,1,78,
-49.1767,13.854,-62.5076,um,Surface,Position Reference Frame,Reference Frame 1,1,79,
-30.9855,10.7706,-69.5706,um,Surface,Position Reference Frame,Reference Frame 1,1,80,
-42.5765,-0.476667,-62.4819,um,Surface,Position Reference Frame,Reference Frame 1,1,81,
-42.8669,14.5998,-67.0491,um,Surface,Position Reference Frame,Reference Frame 1,1,82,
-52.7,-3.32922,-57.2118,um,Surface,Position Reference Frame,Reference Frame 1,1,83,
-40.7053,40.9548,-74.9784,um,Surface,Position Reference Frame,Reference Frame 1,1,84,
-51.1938,36.1195,-71.5362,um,Surface,Position Reference Frame,Reference Frame 1,1,85,
-49.2023,43.6411,-74.5118,um,Surface,Position Reference Frame,Reference Frame 1,1,86,
-41.4409,47.8256,-80.3279,um,Surface,Position Reference Frame,Reference Frame 1,1,87,
-54.6259,40.2506,-73.3113,um,Surface,Position Reference Frame,Reference Frame 1,1,88,
-58.3453,47.146,-73.2647,um,Surface,Position Reference Frame,Reference Frame 1,1,89,
-60.1682,14.1087,-58.3965,um,Surface,Position Reference Frame,Reference Frame 1,1,90,
-65.2887,34.371,-62.6988,um,Surface,Position Reference Frame,Reference Frame 1,1,91,
-58.0004,19.5399,-59.0635,um,Surface,Position Reference Frame,Reference Frame 1,1,92,
-54.2997,27.2587,-65.5489,um,Surface,Position Reference Frame,Reference Frame 1,1,93,
-63.297,18.3539,-59.5536,um,Surface,Position Reference Frame,Reference Frame 1,1,94,
-60.703,39.7639,-67.3923,um,Surface,Position Reference Frame,Reference Frame 1,1,95,
-69.7727,24.4218,-60.6255,um,Surface,Position Reference Frame,Reference Frame 1,1,96,
-61.2488,22.5512,-63.7936,um,Surface,Position Reference Frame,Reference Frame 1,1,97,
-65.1917,30.223,-63.8768,um,Surface,Position Reference Frame,Reference Frame 1,1,98,
-60.1145,38.4473,-69.2943,um,Surface,Position Reference Frame,Reference Frame 1,1,99,
-73.8272,6.24425,-50.4924,um,Surface,Position Reference Frame,Reference Frame 1,1,100,
-69.8772,12.6443,-54.0986,um,Surface,Position Reference Frame,Reference Frame 1,1,101,
-66.2398,14.6987,-57.1806,um,Surface,Position Reference Frame,Reference Frame 1,1,102,
-77.6992,19.3556,-54.6397,um,Surface,Position Reference Frame,Reference Frame 1,1,103,
-72.7205,19.4746,-57.0819,um,Surface,Position Reference Frame,Reference Frame 1,1,104,
-79.4784,12.6701,-51.4706,um,Surface,Position Reference Frame,Reference Frame 1,1,105,
-83.8249,17.8705,-53.2012,um,Surface,Position Reference Frame,Reference Frame 1,1,106,
-90.3199,5.40063,-43.6866,um,Surface,Position Reference Frame,Reference Frame 1,1,107,
-95.7101,7.32354,-42.4508,um,Surface,Position Reference Frame,Reference Frame 1,1,108,
-93.1609,-2.87114,-41.6323,um,Surface,Position Reference Frame,Reference Frame 1,1,109,
-83.7341,-2.41269,-47.73,um,Surface,Position Reference Frame,Reference Frame 1,1,110,
-88.7118,3.25679,-47.7634,um,Surface,Position Reference Frame,Reference Frame 1,1,111,
-70.4318,53.8397,-67.9784,um,Surface,Position Reference Frame,Reference Frame 1,1,112,
-67.7489,49.7195,-70.5918,um,Surface,Position Reference Frame,Reference Frame 1,1,113,
-63.0142,48.5759,-71.6657,um,Surface,Position Reference Frame,Reference Frame 1,1,114,
-74.4279,59.1229,-71.6011,um,Surface,Position Reference Frame,Reference Frame 1,1,115,
-71.761,37.4539,-62.5902,um,Surface,Position Reference Frame,Reference Frame 1,1,116,
-78.9084,37.6046,-57.1549,um,Surface,Position Reference Frame,Reference Frame 1,1,117,
-72.2734,49.491,-65.8607,um,Surface,Position Reference Frame,Reference Frame 1,1,118,
-82.6436,57.3512,-65.4968,um,Surface,Position Reference Frame,Reference Frame 1,1,119,
-76.9215,30.2382,-61.4231,um,Surface,Position Reference Frame,Reference Frame 1,1,120,
-77.4476,33.7956,-61.9283,um,Surface,Position Reference Frame,Reference Frame 1,1,121,
-72.846,46.0443,-68.3477,um,Surface,Position Reference Frame,Reference Frame 1,1,122,
-76.696,42.4084,-63.7242,um,Surface,Position Reference Frame,Reference Frame 1,1,123,
-89.4126,46.3721,-58.6874,um,Surface,Position Reference Frame,Reference Frame 1,1,124,
-78.4258,56.1699,-69.3865,um,Surface,Position Reference Frame,Reference Frame 1,1,125,
-88.9161,47.4728,-62.0429,um,Surface,Position Reference Frame,Reference Frame 1,1,126,
-84.3308,55.4377,-67.171,um,Surface,Position Reference Frame,Reference Frame 1,1,127,
-93.588,16.3909,-46.8618,um,Surface,Position Reference Frame,Reference Frame 1,1,128,
-90.1035,40.9228,-56.5437,um,Surface,Position Reference Frame,Reference Frame 1,1,129,
-97.3806,35.5317,-52.274,um,Surface,Position Reference Frame,Reference Frame 1,1,130,
-101.995,26.8597,-49.4837,um,Surface,Position Reference Frame,Reference Frame 1,1,131,
-85.0282,20.5979,-55.0608,um,Surface,Position Reference Frame,Reference Frame 1,1,132,
-81.6397,26.6881,-57.2161,um,Surface,Position Reference Frame,Reference Frame 1,1,133,
-93.1227,15.3937,-49.6003,um,Surface,Position Reference Frame,Reference Frame 1,1,134,
-89.3986,23.4694,-53.3137,um,Surface,Position Reference Frame,Reference Frame 1,1,135,
-91.6859,28.2024,-55.1126,um,Surface,Position Reference Frame,Reference Frame 1,1,136,
-95.6144,27.8221,-49.5641,um,Surface,Position Reference Frame,Reference Frame 1,1,137,
-89.0711,39.2647,-56.3354,um,Surface,Position Reference Frame,Reference Frame 1,1,138,
-109.043,27.5869,-47.454,um,Surface,Position Reference Frame,Reference Frame 1,1,139,
-100.742,9.64235,-41.3244,um,Surface,Position Reference Frame,Reference Frame 1,1,140,
-109.084,19.2875,-41.58,um,Surface,Position Reference Frame,Reference Frame 1,1,141,
-102.769,18.7131,-45.1958,um,Surface,Position Reference Frame,Reference Frame 1,1,142,
-99.1981,15.2857,-45.9646,um,Surface,Position Reference Frame,Reference Frame 1,1,143,
-107.75,22.1407,-45.0661,um,Surface,Position Reference Frame,Reference Frame 1,1,144,
-107.016,9.965,-42.1039,um,Surface,Position Reference Frame,Reference Frame 1,1,145,
