Detailed,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
127.12,19.62,8.67,um,Spot,Position,3,190
107.43,27.97,8.36,um,Spot,Position,3,191
158.09,37.12,8.70,um,Spot,Position,3,192
70.38,38.32,9.04,um,Spot,Position,3,193
60.12,46.30,9.86,um,Spot,Position,3,194
153.43,46.93,9.80,um,Spot,Position,3,195
67.67,47.70,9.01,um,Spot,Position,3,196
166.01,48.02,9.39,um,Spot,Position,3,197
157.28,54.58,9.04,um,Spot,Position,3,198
55.42,55.49,9.67,um,Spot,Position,3,199
51.84,68.90,9.00,um,Spot,Position,3,200
105.63,19.14,10.14,um,Spot,Position,3,201
113.60,20.44,11.90,um,Spot,Position,3,202
134.21,20.30,11.84,um,Spot,Position,3,203
142.07,25.63,11.40,um,Spot,Position,3,204
92.38,28.02,10.98,um,Spot,Position,3,205
80.60,31.32,10.18,um,Spot,Position,3,206
133.88,33.30,11.72,um,Spot,Position,3,207
101.77,35.78,10.90,um,Spot,Position,3,208
135.41,43.86,10.87,um,Spot,Position,3,209
144.87,45.17,10.56,um,Spot,Position,3,210
79.34,54.47,10.57,um,Spot,Position,3,211
125.90,27.49,13.42,um,Spot,Position,3,212
85.43,30.17,12.94,um,Spot,Position,3,213
106.11,34.17,13.34,um,Spot,Position,3,214
115.76,36.59,13.97,um,Spot,Position,3,215
83.82,41.57,12.22,um,Spot,Position,3,216
111.16,25.28,14.42,um,Spot,Position,3,217
154.32,28.28,14.11,um,Spot,Position,3,218
124.26,34.99,15.73,um,Spot,Position,3,219
94.19,38.66,14.88,um,Spot,Position,3,220
65.88,43.23,15.27,um,Spot,Position,3,221
82.19,50.39,15.02,um,Spot,Position,3,222
62.16,62.18,14.10,um,Spot,Position,3,223
140.41,30.98,17.20,um,Spot,Position,3,224
161.71,35.50,16.84,um,Spot,Position,3,225
152.89,41.42,17.04,um,Spot,Position,3,226
145.68,50.37,16.21,um,Spot,Position,3,227
152.01,55.53,16.01,um,Spot,Position,3,228
68.61,62.76,17.95,um,Spot,Position,3,229
112.59,29.93,19.63,um,Spot,Position,3,230
89.83,31.25,18.72,um,Spot,Position,3,231
148.80,31.16,18.17,um,Spot,Position,3,232
83.15,36.56,18.36,um,Spot,Position,3,233
146.48,37.83,18.53,um,Spot,Position,3,234
129.60,43.27,18.94,um,Spot,Position,3,235
86.52,46.40,19.52,um,Spot,Position,3,236
137.11,46.21,19.85,um,Spot,Position,3,237
153.52,46.60,18.96,um,Spot,Position,3,238
65.39,54.23,19.27,um,Spot,Position,3,239
162.96,55.30,18.66,um,Spot,Position,3,240
59.26,56.75,19.24,um,Spot,Position,3,241
117.08,20.68,20.55,um,Spot,Position,3,242
85.71,23.31,20.38,um,Spot,Position,3,243
102.58,24.35,21.13,um,Spot,Position,3,244
94.70,25.90,20.51,um,Spot,Position,3,245
135.41,32.01,21.58,um,Spot,Position,3,246
130.94,34.04,20.38,um,Spot,Position,3,247
62.47,41.78,20.92,um,Spot,Position,3,248
75.18,45.13,20.39,um,Spot,Position,3,249
75.13,56.44,20.43,um,Spot,Position,3,250
54.58,60.62,21.67,um,Spot,Position,3,251
60.42,64.85,20.77,um,Spot,Position,3,252
51.86,68.99,20.33,um,Spot,Position,3,253
76.21,30.87,22.27,um,Spot,Position,3,254
122.64,31.69,23.08,um,Spot,Position,3,255
101.36,33.86,23.90,um,Spot,Position,3,256
82.93,37.07,22.18,um,Spot,Position,3,257
163.70,48.50,22.27,um,Spot,Position,3,258
90.99,29.90,25.70,um,Spot,Position,3,259
114.15,31.76,25.02,um,Spot,Position,3,260
142.25,46.05,24.20,um,Spot,Position,3,261
149.91,52.90,25.85,um,Spot,Position,3,262
99.09,19.08,26.33,um,Spot,Position,3,263
134.76,21.03,27.39,um,Spot,Position,3,264
112.25,23.31,26.71,um,Spot,Position,3,265
127.91,27.66,26.95,um,Spot,Position,3,266
138.38,29.67,26.62,um,Spot,Position,3,267
156.23,30.37,27.44,um,Spot,Position,3,268
139.55,39.17,27.12,um,Spot,Position,3,269
133.92,46.33,27.73,um,Spot,Position,3,270
52.85,54.29,26.32,um,Spot,Position,3,271
146.00,36.26,29.75,um,Spot,Position,3,272
88.51,42.15,28.27,um,Spot,Position,3,273
62.71,48.06,29.36,um,Spot,Position,3,274
68.64,59.57,28.68,um,Spot,Position,3,275
94.97,35.80,31.01,um,Spot,Position,3,276
71.93,38.99,30.20,um,Spot,Position,3,277
127.68,39.22,31.88,um,Spot,Position,3,278
