Detailed,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
173.33,2.90,1.00,um,Spot,Position,3,3493
199.69,3.21,1.00,um,Spot,Position,3,3496
194.88,9.53,1.00,um,Spot,Position,3,3503
152.21,12.07,1.00,um,Spot,Position,3,3506
141.43,14.49,1.00,um,Spot,Position,3,3507
174.55,15.30,1.00,um,Spot,Position,3,3508
199.69,15.34,1.00,um,Spot,Position,3,3509
186.62,18.03,1.00,um,Spot,Position,3,3512
7.57,18.81,1.00,um,Spot,Position,3,3513
149.12,18.94,1.00,um,Spot,Position,3,3514
136.35,23.21,1.00,um,Spot,Position,3,3519
179.57,23.26,1.00,um,Spot,Position,3,3520
148.25,24.41,1.00,um,Spot,Position,3,3522
162.27,26.49,1.00,um,Spot,Position,3,3524
197.73,26.44,1.00,um,Spot,Position,3,3525
189.87,28.27,1.00,um,Spot,Position,3,3526
54.53,28.66,1.00,um,Spot,Position,3,3527
173.18,29.14,1.00,um,Spot,Position,3,3528
137.59,29.68,1.00,um,Spot,Position,3,3529
5.97,32.14,1.00,um,Spot,Position,3,3532
123.25,32.46,1.00,um,Spot,Position,3,3533
154.89,32.11,1.00,um,Spot,Position,3,3534
199.69,34.39,1.00,um,Spot,Position,3,3537
3.08,37.17,1.00,um,Spot,Position,3,3540
184.60,37.93,1.00,um,Spot,Position,3,3541
36.90,38.46,1.00,um,Spot,Position,3,3542
148.25,38.27,1.00,um,Spot,Position,3,3544
53.47,40.17,1.00,um,Spot,Position,3,3545
111.28,41.65,1.00,um,Spot,Position,3,3548
170.25,41.77,1.00,um,Spot,Position,3,3549
97.79,48.00,1.00,um,Spot,Position,3,3554
12.63,50.47,1.00,um,Spot,Position,3,3557
49.38,50.33,1.00,um,Spot,Position,3,3558
136.78,50.88,1.00,um,Spot,Position,3,3560
113.89,53.83,1.00,um,Spot,Position,3,3561
80.68,54.08,1.00,um,Spot,Position,3,3562
145.09,55.49,1.00,um,Spot,Position,3,3563
31.01,55.67,1.00,um,Spot,Position,3,3564
89.26,56.16,1.00,um,Spot,Position,3,3565
176.98,57.54,1.00,um,Spot,Position,3,3567
169.68,58.20,1.00,um,Spot,Position,3,3568
45.32,61.31,1.00,um,Spot,Position,3,3570
118.85,61.27,1.00,um,Spot,Position,3,3571
108.64,62.27,1.00,um,Spot,Position,3,3573
145.69,63.55,1.00,um,Spot,Position,3,3574
162.20,65.00,1.00,um,Spot,Position,3,3576
12.79,65.45,1.00,um,Spot,Position,3,3577
82.47,66.01,1.00,um,Spot,Position,3,3578
153.41,67.26,1.00,um,Spot,Position,3,3579
25.36,68.00,1.00,um,Spot,Position,3,3580
60.57,68.28,1.00,um,Spot,Position,3,3581
110.29,68.59,1.00,um,Spot,Position,3,3583
70.90,69.64,1.00,um,Spot,Position,3,3584
77.49,71.80,1.00,um,Spot,Position,3,3586
115.25,72.66,1.00,um,Spot,Position,3,3588
184.18,73.41,1.00,um,Spot,Position,3,3590
193.54,73.44,1.00,um,Spot,Position,3,3591
101.55,77.10,1.00,um,Spot,Position,3,3594
110.12,77.02,1.00,um,Spot,Position,3,3595
25.88,78.77,1.00,um,Spot,Position,3,3596
190.09,80.35,1.00,um,Spot,Position,3,3597
134.21,81.41,1.00,um,Spot,Position,3,3598
12.14,82.46,1.00,um,Spot,Position,3,3599
48.45,83.71,1.00,um,Spot,Position,3,3600
153.66,83.74,1.00,um,Spot,Position,3,3601
112.32,85.74,1.00,um,Spot,Position,3,3603
107.81,86.90,1.00,um,Spot,Position,3,3605
177.16,86.87,1.00,um,Spot,Position,3,3606
21.13,87.51,1.00,um,Spot,Position,3,3607
29.15,89.22,1.00,um,Spot,Position,3,3608
183.12,89.93,1.00,um,Spot,Position,3,3609
192.42,89.93,1.00,um,Spot,Position,3,3610
117.31,91.05,1.00,um,Spot,Position,3,3611
11.46,92.55,1.00,um,Spot,Position,3,3612
123.13,92.42,1.00,um,Spot,Position,3,3613
152.74,92.10,1.00,um,Spot,Position,3,3614
