
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
19,,Surface,3,Image 1,1,0,
51,,Surface,3,Image 1,1,1,
50,,Surface,3,Image 1,1,2,
19,,Surface,3,Image 1,1,3,
87,,Surface,3,Image 1,1,4,
50,,Surface,3,Image 1,1,5,
18,,Surface,3,Image 1,1,6,
11,,Surface,3,Image 1,1,7,
10,,Surface,3,Image 1,1,8,
10,,Surface,3,Image 1,1,9,
10,,Surface,3,Image 1,1,10,
11,,Surface,3,Image 1,1,11,
8,,Surface,3,Image 1,1,12,
10,,Surface,3,Image 1,1,13,
11,,Surface,3,Image 1,1,14,
9,,Surface,3,Image 1,1,15,
8,,Surface,3,Image 1,1,16,
16,,Surface,3,Image 1,1,17,
10,,Surface,3,Image 1,1,18,
9,,Surface,3,Image 1,1,19,
10,,Surface,3,Image 1,1,20,
15,,Surface,3,Image 1,1,21,
9,,Surface,3,Image 1,1,22,
10,,Surface,3,Image 1,1,23,
11,,Surface,3,Image 1,1,24,
11,,Surface,3,Image 1,1,25,
10,,Surface,3,Image 1,1,26,
10,,Surface,3,Image 1,1,27,
10,,Surface,3,Image 1,1,28,
10,,Surface,3,Image 1,1,29,
10,,Surface,3,Image 1,1,30,
12,,Surface,3,Image 1,1,31,
10,,Surface,3,Image 1,1,32,
10,,Surface,3,Image 1,1,33,
10,,Surface,3,Image 1,1,34,
10,,Surface,3,Image 1,1,35,
10,,Surface,3,Image 1,1,36,
13,,Surface,3,Image 1,1,37,
10,,Surface,3,Image 1,1,38,
10,,Surface,3,Image 1,1,39,
10,,Surface,3,Image 1,1,40,
11,,Surface,3,Image 1,1,41,
17,,Surface,3,Image 1,1,42,
59,,Surface,3,Image 1,1,43,
10,,Surface,3,Image 1,1,44,
22,,Surface,3,Image 1,1,45,
10,,Surface,3,Image 1,1,46,
10,,Surface,3,Image 1,1,47,
9,,Surface,3,Image 1,1,48,
10,,Surface,3,Image 1,1,49,
9,,Surface,3,Image 1,1,50,
12,,Surface,3,Image 1,1,51,
8,,Surface,3,Image 1,1,52,
10,,Surface,3,Image 1,1,53,
28,,Surface,3,Image 1,1,54,
10,,Surface,3,Image 1,1,55,
28,,Surface,3,Image 1,1,56,
10,,Surface,3,Image 1,1,57,
12,,Surface,3,Image 1,1,58,
12,,Surface,3,Image 1,1,59,
11,,Surface,3,Image 1,1,60,
10,,Surface,3,Image 1,1,61,
10,,Surface,3,Image 1,1,62,
14,,Surface,3,Image 1,1,63,
10,,Surface,3,Image 1,1,64,
53,,Surface,3,Image 1,1,65,
11,,Surface,3,Image 1,1,66,
9,,Surface,3,Image 1,1,67,
19,,Surface,3,Image 1,1,68,
81,,Surface,3,Image 1,1,69,
10,,Surface,3,Image 1,1,70,
9,,Surface,3,Image 1,1,71,
10,,Surface,3,Image 1,1,72,
12,,Surface,3,Image 1,1,73,
11,,Surface,3,Image 1,1,74,
10,,Surface,3,Image 1,1,75,
11,,Surface,3,Image 1,1,76,
92,,Surface,3,Image 1,1,77,
162,,Surface,3,Image 1,1,78,
77,,Surface,3,Image 1,1,79,
58,,Surface,3,Image 1,1,80,
92,,Surface,3,Image 1,1,81,
45,,Surface,3,Image 1,1,82,
81,,Surface,3,Image 1,1,83,
11,,Surface,3,Image 1,1,84,
63,,Surface,3,Image 1,1,85,
30,,Surface,3,Image 1,1,86,
92,,Surface,3,Image 1,1,87,
128,,Surface,3,Image 1,1,88,
130,,Surface,3,Image 1,1,89,
107,,Surface,3,Image 1,1,90,
37,,Surface,3,Image 1,1,91,
95,,Surface,3,Image 1,1,92,
73,,Surface,3,Image 1,1,93,
46,,Surface,3,Image 1,1,94,
48,,Surface,3,Image 1,1,95,
108,,Surface,3,Image 1,1,96,
65,,Surface,3,Image 1,1,97,
29,,Surface,3,Image 1,1,98,
54,,Surface,3,Image 1,1,99,
73,,Surface,3,Image 1,1,100,
122,,Surface,3,Image 1,1,101,
105,,Surface,3,Image 1,1,102,
80,,Surface,3,Image 1,1,103,
56,,Surface,3,Image 1,1,104,
146,,Surface,3,Image 1,1,105,
91,,Surface,3,Image 1,1,106,
200,,Surface,3,Image 1,1,107,
34,,Surface,3,Image 1,1,108,
106,,Surface,3,Image 1,1,109,
14,,Surface,3,Image 1,1,110,
31,,Surface,3,Image 1,1,111,
91,,Surface,3,Image 1,1,112,
111,,Surface,3,Image 1,1,113,
59,,Surface,3,Image 1,1,114,
14,,Surface,3,Image 1,1,115,
69,,Surface,3,Image 1,1,116,
13,,Surface,3,Image 1,1,117,
10,,Surface,3,Image 1,1,118,
10,,Surface,3,Image 1,1,119,
78,,Surface,3,Image 1,1,120,
10,,Surface,3,Image 1,1,121,
18,,Surface,3,Image 1,1,122,
9,,Surface,3,Image 1,1,123,
16,,Surface,3,Image 1,1,124,
12,,Surface,3,Image 1,1,125,
10,,Surface,3,Image 1,1,126,
10,,Surface,3,Image 1,1,127,
10,,Surface,3,Image 1,1,128,
9,,Surface,3,Image 1,1,129,
8,,Surface,3,Image 1,1,130,
11,,Surface,3,Image 1,1,131,
10,,Surface,3,Image 1,1,132,
13,,Surface,3,Image 1,1,133,
11,,Surface,3,Image 1,1,134,
47,,Surface,3,Image 1,1,135,
11,,Surface,3,Image 1,1,136,
20,,Surface,3,Image 1,1,137,
9,,Surface,3,Image 1,1,138,
10,,Surface,3,Image 1,1,139,
12,,Surface,3,Image 1,1,140,
9,,Surface,3,Image 1,1,141,
10,,Surface,3,Image 1,1,142,
11,,Surface,3,Image 1,1,143,
9,,Surface,3,Image 1,1,144,
9,,Surface,3,Image 1,1,145,
8,,Surface,3,Image 1,1,146,
9,,Surface,3,Image 1,1,147,
8,,Surface,3,Image 1,1,148,
10,,Surface,3,Image 1,1,149,
11,,Surface,3,Image 1,1,150,
9,,Surface,3,Image 1,1,151,
10,,Surface,3,Image 1,1,152,
10,,Surface,3,Image 1,1,153,
10,,Surface,3,Image 1,1,154,
10,,Surface,3,Image 1,1,155,
8,,Surface,3,Image 1,1,156,
8,,Surface,3,Image 1,1,157,
25,,Surface,3,Image 1,1,158,
8,,Surface,3,Image 1,1,159,
9,,Surface,3,Image 1,1,160,
10,,Surface,3,Image 1,1,161,
9,,Surface,3,Image 1,1,162,
10,,Surface,3,Image 1,1,163,
14,,Surface,3,Image 1,1,164,
9,,Surface,3,Image 1,1,165,
45,,Surface,3,Image 1,1,166,
14,,Surface,3,Image 1,1,167,
52,,Surface,3,Image 1,1,168,
43,,Surface,3,Image 1,1,169,
61,,Surface,3,Image 1,1,170,
93,,Surface,3,Image 1,1,171,
8,,Surface,3,Image 1,1,172,
39,,Surface,3,Image 1,1,173,
10,,Surface,3,Image 1,1,174,
62,,Surface,3,Image 1,1,175,
10,,Surface,3,Image 1,1,176,
15,,Surface,3,Image 1,1,177,
9,,Surface,3,Image 1,1,178,
17,,Surface,3,Image 1,1,179,
10,,Surface,3,Image 1,1,180,
55,,Surface,3,Image 1,1,181,
49,,Surface,3,Image 1,1,182,
180,,Surface,3,Image 1,1,183,
10,,Surface,3,Image 1,1,184,
70,,Surface,3,Image 1,1,185,
15,,Surface,3,Image 1,1,186,
22,,Surface,3,Image 1,1,187,
29,,Surface,3,Image 1,1,188,
81,,Surface,3,Image 1,1,189,
32,,Surface,3,Image 1,1,190,
9,,Surface,3,Image 1,1,191,
10,,Surface,3,Image 1,1,192,
8,,Surface,3,Image 1,1,193,
9,,Surface,3,Image 1,1,194,
10,,Surface,3,Image 1,1,195,
9,,Surface,3,Image 1,1,196,
40,,Surface,3,Image 1,1,197,
57,,Surface,3,Image 1,1,198,
39,,Surface,3,Image 1,1,199,
9,,Surface,3,Image 1,1,200,
17,,Surface,3,Image 1,1,201,
15,,Surface,3,Image 1,1,202,
9,,Surface,3,Image 1,1,203,
10,,Surface,3,Image 1,1,204,
57,,Surface,3,Image 1,1,205,
94,,Surface,3,Image 1,1,206,
45,,Surface,3,Image 1,1,207,
9,,Surface,3,Image 1,1,208,
11,,Surface,3,Image 1,1,209,
9,,Surface,3,Image 1,1,210,
10,,Surface,3,Image 1,1,211,
9,,Surface,3,Image 1,1,212,
10,,Surface,3,Image 1,1,213,
8,,Surface,3,Image 1,1,214,
9,,Surface,3,Image 1,1,215,
9,,Surface,3,Image 1,1,216,
31,,Surface,3,Image 1,1,217,
10,,Surface,3,Image 1,1,218,
10,,Surface,3,Image 1,1,219,
63,,Surface,3,Image 1,1,220,
18,,Surface,3,Image 1,1,221,
9,,Surface,3,Image 1,1,222,
13,,Surface,3,Image 1,1,223,
11,,Surface,3,Image 1,1,224,
68,,Surface,3,Image 1,1,225,
137,,Surface,3,Image 1,1,226,
149,,Surface,3,Image 1,1,227,
8,,Surface,3,Image 1,1,228,
121,,Surface,3,Image 1,1,229,
86,,Surface,3,Image 1,1,230,
31,,Surface,3,Image 1,1,231,
8,,Surface,3,Image 1,1,232,
9,,Surface,3,Image 1,1,233,
9,,Surface,3,Image 1,1,234,
9,,Surface,3,Image 1,1,235,
105,,Surface,3,Image 1,1,236,
9,,Surface,3,Image 1,1,237,
8,,Surface,3,Image 1,1,238,
5,,Surface,3,Image 1,1,239,
10,,Surface,3,Image 1,1,240,
9,,Surface,3,Image 1,1,241,
9,,Surface,3,Image 1,1,242,
10,,Surface,3,Image 1,1,243,
9,,Surface,3,Image 1,1,244,
8,,Surface,3,Image 1,1,245,
100,,Surface,3,Image 1,1,246,
17,,Surface,3,Image 1,1,247,
10,,Surface,3,Image 1,1,248,
88,,Surface,3,Image 1,1,249,
8,,Surface,3,Image 1,1,250,
10,,Surface,3,Image 1,1,251,
8,,Surface,3,Image 1,1,252,
10,,Surface,3,Image 1,1,253,
13,,Surface,3,Image 1,1,254,
10,,Surface,3,Image 1,1,255,
